City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Geraldton,AU,2021-07-29 21:52:52,-28.7667,114.6,64.13,88,75,21.85
67,Waldkirchen,DE,2021-07-29 21:52:52,48.7327,13.6008,64.47,82,2,1.99
68,Ilulissat,GL,2021-07-29 21:52:53,69.2167,-51.1,45.52,76,58,4.63
69,Saldanha,ZA,2021-07-29 21:52:53,-33.0117,17.9442,46.45,87,0,6.53
70,Santa Maria Del Oro,MX,2021-07-29 21:52:53,25.9333,-105.3667,79.72,34,83,12.88
71,Baijiantan,CN,2021-07-29 21:52:54,45.6333,85.1833,82.67,21,89,7.45
72,Inongo,CD,2021-07-29 21:52:54,-1.95,18.2667,73.08,38,31,3.78
73,Georgetown,MY,2021-07-29 21:52:06,5.4112,100.3354,78.73,90,20,14.0
74,Cherskiy,RU,2021-07-29 21:52:53,68.75,161.3,36.12,69,99,20.2
75,Luderitz,NA,2021-07-29 21:52:54,-26.6481,15.1594,62.42,40,0,9.42
76,Rio Tercero,AR,2021-07-29 21:52:55,-32.173,-64.1141,42.48,29,0,7.11
77,Kindu,CD,2021-07-29 21:52:55,-2.95,25.95,71.85,66,22,1.63
78,Hamilton,US,2021-07-29 21:52:55,39.1834,-84.5333,88.99,71,40,3.0
79,Kapaa,US,2021-07-29 21:52:56,22.0752,-159.319,84.52,68,40,5.01
80,San Marcos,US,2021-07-29 21:52:49,33.1434,-117.1661,101.84,60,40,3.0
81,Rock Springs,US,2021-07-29 21:52:56,41.5875,-109.2029,85.23,31,1,1.99
82,Green River,US,2021-07-29 21:52:56,41.5286,-109.4662,86.18,39,35,1.99
83,Barrow,US,2021-07-29 21:52:36,71.2906,-156.7887,51.82,87,90,4.61
84,Humaita,BR,2021-07-29 21:52:57,-7.5061,-63.0208,79.75,42,1,3.58
85,Falun,SE,2021-07-29 21:52:57,60.6036,15.626,57.61,92,90,3.94
86,Beloha,MG,2021-07-29 21:52:58,-25.1667,45.05,68.23,68,34,9.64
87,Nikolskoye,RU,2021-07-29 21:52:32,59.7035,30.7861,65.39,89,14,4.21
88,Hanna,CA,2021-07-29 21:52:58,51.6334,-111.9018,92.71,27,32,4.0
89,Lebu,CL,2021-07-29 21:52:58,-37.6167,-73.65,50.54,81,1,6.17
90,Beaupre,CA,2021-07-29 21:52:59,47.0443,-70.8953,66.06,68,100,4.61
